tf_mode,idf_mode,combination,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy
raw,raw,TF=raw | IDF=raw,0.9444998907171595,0.9460869565217391,0.9345128828418744,0.9382608695652174
raw,max_df_norm,TF=raw | IDF=max_df_norm,0.9512323175402324,0.9521739130434783,0.943203041174225,0.9452173913043478
total_words,raw,TF=total_words | IDF=raw,0.9479038684605534,0.948695652173913,0.9405321068000746,0.9421739130434783
total_words,max_df_norm,TF=total_words | IDF=max_df_norm,0.9542296147776499,0.9547826086956521,0.9457211688528614,0.947391304347826
max_freq,raw,TF=max_freq | IDF=raw,0.9474626012854287,0.9482608695652174,0.9413234787637798,0.9430434782608695
max_freq,max_df_norm,TF=max_freq | IDF=max_df_norm,0.9524744314538607,0.9534782608695652,0.9419544892419881,0.9443478260869566
