model,tf_mode,idf_mode,combination,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy
1,UN,UN,"Model 1: TF=UN, IDF=UN",0.9547164515558701,0.9553466509988249,0.9469407658813342,0.9472049689440993
2,NT1,UN,"Model 2: TF=NT1, IDF=UN",0.9537599499424411,0.954563258911085,0.9454295027178834,0.9464285714285714
3,NT2,UN,"Model 3: TF=NT2, IDF=UN",0.9541749688621998,0.954954954954955,0.9469737345770582,0.9475931677018633
4,UN,NI1,"Model 4: TF=UN, IDF=NI1",0.9562277735192266,0.9569134351743047,0.9487976178795163,0.9491459627329193
5,NT1,NI1,"Model 5: TF=NT1, IDF=NI1",0.9477608916928864,0.9502546024285154,0.9420266249043315,0.9448757763975155
6,NT2,NI1,"Model 6: TF=NT2, IDF=NI1",0.9543771275167208,0.954954954954955,0.9479998705086673,0.9483695652173914
